alias_phrase,pattern,type,category,subtype,google_leaf,support_products,dominant_count,precision,confidence,vendor_count,mapping_variants,example_titles
turbo blanket,\b(?:turbo\s+blanket)\b,Turbos & Accessories,Turbos & Accessories,Turbo Blankets,Motor Vehicle Engine Parts,13,13,1.0,0.7275,4,1,BD 1453521 T3 Turbo Blanket - S300 Wastegated | BD 1453522 T4 Turbo Blanket - S300 / S400 | BD 1453523 T6 Turbo Blanket - S400 / S500
water tank,\b(?:water\s+tank)\b,Water Tanks,Water Tanks,,Motor Vehicle Parts,13,13,1.0,0.7275,1,1,S&B 16 Gallon Passenger Side Undercarriage Fresh Water Tank 07-23 Mercedes Sprinter 2.0L/3.0L Diesel | S&B 20 Gallon Wheel Well Water Tank 07-23 Mercedes Sprinter 2500/3500 / 15-19 Ford Transit 2.0L | S&B 22 Gallon Driver Side Undercarriage Fresh Water Tank 07-23 Mercedes Sprinter 2.0L / 3.0L Diesel
pintop 2 5 suspension system,\b(?:pintop\s+2\s+5\s+suspension\s+system)\b,Suspension & Steering,Suspension & Steering,Lift & Leveling Kits,Motor Vehicle Suspension Parts,15,14,0.9333,0.7251,1,2,"Carli 2.5"" Leveling KING Pintop 2.5 Suspension System 05-07 Ford 6.0L Powerstroke | Carli 2.5"" Leveling KING Pintop 2.5 Suspension System 08-10 Ford 6.4L Powerstroke | Carli 2.5"" Leveling KING Pintop 2.5 Suspension System 11-16 Ford 6.7L Powerstroke"
progressive leaf spring pack,\b(?:progressive\s+leaf\s+spring\s+pack)\b,Suspension & Steering,Suspension & Steering,Leaf Springs,Motor Vehicle Suspension Parts,15,14,0.9333,0.7251,1,2,"Carli 1"" Lift Full Progressive Leaf Spring Pack 13-18 Ram 3500 With Auto Level Air Suspension | Carli 2"" Lift Full Progressive Leaf Spring Pack 19-25 Ram 3500 Cummins W/ Auto Level Air Suspension | Carli 2"" Rear Lift Full Progressive Leaf Spring Pack 94-02 Dodge Ram 5.9L Cummins"
exhaust manifold kit,\b(?:exhaust\s+manifold\s+kit)\b,Exhaust,Exhaust,Exhaust Manifolds,Motor Vehicle Exhaust,15,14,0.9333,0.7251,2,2,ATS Pulse Flow 2 Piece Exhaust Manifold Kit (T3) 03-07 Ram 5.9L Cummins | ATS Pulse Flow 2 Piece Exhaust Manifold Kit (T4) 03-07 Ram 5.9L Cummins | ATS Pulse Flow 2 Piece Exhaust Manifold Kit 07.5-18 Ram 6.7L Cummins
rear block kit,\b(?:rear\s+block\s+kit)\b,Suspension & Steering,Suspension & Steering,Leaf Spring Blocks,Motor Vehicle Suspension Parts,15,14,0.9333,0.7251,2,2,"ReadyLIFT 1-Inch Rear Block Kit 11-25 GM 2500/3500 6.6L Duramax LML/l5P | ReadyLIFT 2"" Rear Block Kit 11-23 GM 2500HD / 3500 | ReadyLIFT 4"" Rear Block Kit 11-23 GM 2500HD / 3500HD Non-Dually"
sway bar link,\b(?:sway\s+bar\s+link)\b,Suspension & Steering,Suspension & Steering,Sway Bar Related,Motor Vehicle Suspension Parts,15,14,0.9333,0.7251,4,2,"Apex Chassis Front Sway Bar Link 00-02 Dodge Ram 2500 / 3500 | BDS Suspension Front Sway Bar Link Disconnect Kit 03-13 Dodge Ram 2500/3500 4WD | BDS Suspension Front Sway Bar Link Extension Kit for 6"" Lift 03-07 Dodge Ram 2500/3500 4WD"
sway bar end link kit,\b(?:sway\s+bar\s+end\s+link\s+kit)\b,Suspension & Steering,Suspension & Steering,Sway Bar Related,Motor Vehicle Suspension Parts,14,13,0.9286,0.6996,8,2,"Axiom Supply Sway Bar End Link Kit 0-2"" Lift 01-19 GM 2500HD/3500 | Axiom Supply Sway Bar End Link Kit 4-6"" Lift 01-19 GM 2500HD/3500 | Axiom Supply Sway Bar End Link Kit 7-9"" Lift 01-19 GM 2500HD/3500"
6 radius arm,\b(?:6\s+radius\s+arm)\b,Suspension & Steering,Suspension & Steering,Lift & Leveling Kits,Motor Vehicle Suspension Parts,14,13,0.9286,0.6996,3,2,"BDS Suspension 6"" Radius Arm Coilover Suspension System 08-10 Ford 6.4L Powerstroke F250 / F350 | BDS Suspension 6"" Radius Arm Lift Kit 05-07 Ford 6.0L Powerstroke F250 / F350 | BDS Suspension 6"" Radius Arm Lift Kit 08-10 Ford 6.4L Powerstroke F250 / F350"
pressure relief valve,\b(?:pressure\s+relief\s+valve)\b,Fuel Related,Fuel Related,Fuel Lines and Fittings,Motor Vehicle Fuel Systems,14,13,0.9286,0.6996,5,2,ATS 7050502326 Pressure Relief Valve Block Off 6.7L Cummins / Duramax | ATS Pressure Relief Valve Block Off 03-07 Ram 5.9L Cummins | ATS Pressure Relief Valve Block Off 04.5-10 GM 6.6L Duramax
pair pack,\b(?:pair\s+pack)\b,Lighting,Lighting,Auxiliary Lighting,Motor Vehicle Lighting,14,13,0.9286,0.6996,2,2,Baja Designs S2 Sport LED Light Kit / Pair Pack | Baja Designs Squadron Pro LED Light - Pair Pack | Baja Designs Squadron Sport LED Light Kit / Pair Pack
rolled edge,\b(?:rolled\s+edge)\b,Exhaust,Exhaust,Tips,Motor Vehicle Exhaust,14,13,0.9286,0.6996,4,2,"Aeroturbine 4"" Inlet 5"" Outlet Black Stainless Rolled Edge Angle Cut Bolt-On Exhaust Tip | Aeroturbine 4"" Inlet 5"" Outlet Polished Stainless Rolled Edge Angle Cut Weld-On Exhaust Tip | Aeroturbine 4"" Inlet 5"" Outlet Rolled Edge Angle Cut Bolt-On Aero Exhaust Tip"
series radiator,\b(?:series\s+radiator)\b,Intercoolers / Radiators / Condensers,Intercoolers / Radiators / Condensers,Radiators,Motor Vehicle Engine Parts,14,13,0.9286,0.6996,1,2,AFE 46-52031 BladeRunner Street Series Radiator 01-05 6.6L GM Duramax | AFE 46-52041 BladeRunner Street Series Radiator 06-10 6.6L GM Duramax | AFE BladeRunner Street Series Radiator 03-07 Ford 6.0L Powerstroke
165 gph air fuel separation,\b(?:165\s+gph\s+air\s+fuel\s+separation)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,12,12,1.0,0.6988,1,1,Airdog II-5G 165 GPH Air Fuel Separation Lift Pump 98.5-04.5 Dodge 5.9L Cummins W/In-Tank Pump | Airdog II-5G 165 GPH Air Fuel Separation Lift Pump System 01-10 GM Duramax | Airdog II-5G 165 GPH Air Fuel Separation Lift Pump System 03-07 6.0L Ford Powerstroke
aluminized exhaust system with muffler,\b(?:aluminized\s+exhaust\s+system\s+with\s+muffler)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,12,12,1.0,0.6988,1,1,"MBRP 4"" Armor Lite Turbo-Back Aluminized Exhaust System With Muffler 94-97 Ford 7.3L Powerstroke | MBRP Armor Lite 4"" Cat Back Aluminized Exhaust System with Muffler 01-05 GM 6.6L Duramax | MBRP Armor Lite 4"" Cat Back Aluminized Exhaust System with Muffler 03-07 Ford 6.0L Powerstroke"
backcountry 2 0 suspension system,\b(?:backcountry\s+2\s+0\s+suspension\s+system)\b,Suspension & Steering,Suspension & Steering,Lift & Leveling Kits,Motor Vehicle Suspension Parts,12,12,1.0,0.6988,1,1,"Carli 3"" Backcountry 2.0 Suspension System 03-09 Dodge Ram 5.9L / 6.7L Cummins | Carli 3"" Backcountry 2.0 Suspension System 10-13 Ram 2500 / 10-12 Ram 3500 6.7L Cummins | Carli 4.5"" Backcountry 2.0 Suspension System 05-07 Ford 6.0L Powerstroke"
bd epas electronic emergency engine,\b(?:bd\s+epas\s+electronic\s+emergency\s+engine)\b,Emergency Engine Shutdown,Emergency Engine Shutdown,,Motor Vehicle Engine Parts,12,12,1.0,0.6988,1,1,BD E-PAS Electronic Emergency Engine Shutdown 07.5-09 Dodge 6.7L Cummins | BD E-PAS Electronic Emergency Engine Shutdown 07.5-10 6.6L LMM GM Duramax | BD E-PAS Electronic Emergency Engine Shutdown 08-10 6.4L Ford Powerstroke
designed for use with 2,\b(?:designed\s+for\s+use\s+with\s+2)\b,Hitches,Hitches,,Motor Vehicle Towing,12,12,1.0,0.6988,1,1,"Weigh Safe 180 Drop Hitch | Designed for use with 2"" Receiver Hitch | Weigh Safe 180 Drop Hitch | Designed for use with 2.5"" Receiver Hitch | Weigh Safe Black Cerakote 180 Drop Hitch | Designed for use with 2"" Receiver Hitch"
dfs780 fuel system full time,\b(?:dfs780\s+fuel\s+system\s+full\s+time)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,12,12,1.0,0.6988,1,1,AFE DFS780 Fuel System (Full Time Operation) 01-10 6.6L GM Duramax | AFE DFS780 Fuel System (Full Time Operation) 03-04.5 Dodge 5.9L  Cummins | AFE DFS780 Fuel System (Full Time Operation) 03-07 Ford 6.0L Powerstroke
epas electronic emergency engine shutdown,\b(?:epas\s+electronic\s+emergency\s+engine\s+shutdown)\b,Emergency Engine Shutdown,Emergency Engine Shutdown,,Motor Vehicle Engine Parts,12,12,1.0,0.6988,1,1,BD E-PAS Electronic Emergency Engine Shutdown 07.5-09 Dodge 6.7L Cummins | BD E-PAS Electronic Emergency Engine Shutdown 07.5-10 6.6L LMM GM Duramax | BD E-PAS Electronic Emergency Engine Shutdown 08-10 6.4L Ford Powerstroke
ev3 build your own gauge,\b(?:ev3\s+build\s+your\s+own\s+gauge)\b,Gauges,Gauges,Gauge Packages,Motor Vehicle Sensors & Gauges,12,12,1.0,0.6988,1,1,ISSPRO EV3 Build Your Own Gauge Kit 01-07 GM 6.6L Duramax | ISSPRO EV3 Build Your Own Gauge Kit 03-09 Ram 5.9L/6.7L Cummins | ISSPRO EV3 Build Your Own Gauge Kit 07.5-10 GM 6.6L Duramax LMM
ii5g 165 gph air fuel,\b(?:ii5g\s+165\s+gph\s+air\s+fuel)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,12,12,1.0,0.6988,1,1,Airdog II-5G 165 GPH Air Fuel Separation Lift Pump 98.5-04.5 Dodge 5.9L Cummins W/In-Tank Pump | Airdog II-5G 165 GPH Air Fuel Separation Lift Pump System 01-10 GM Duramax | Airdog II-5G 165 GPH Air Fuel Separation Lift Pump System 03-07 6.0L Ford Powerstroke
king pintop 2 5 suspension,\b(?:king\s+pintop\s+2\s+5\s+suspension)\b,Suspension & Steering,Suspension & Steering,Lift & Leveling Kits,Motor Vehicle Suspension Parts,12,12,1.0,0.6988,1,1,"Carli 2.5"" Leveling KING Pintop 2.5 Suspension System 05-07 Ford 6.0L Powerstroke | Carli 2.5"" Leveling KING Pintop 2.5 Suspension System 08-10 Ford 6.4L Powerstroke | Carli 2.5"" Leveling KING Pintop 2.5 Suspension System 11-16 Ford 6.7L Powerstroke"
mls cylinder head gasket set,\b(?:mls\s+cylinder\s+head\s+gasket\s+set)\b,Engine Components,Engine Components,Gaskets,Motor Vehicle Engine Parts,12,12,1.0,0.6988,1,1,Power Stroke Products MLS Cylinder Head Gasket Set 01-04 GM 6.6L Duramax LB7 | Power Stroke Products MLS Cylinder Head Gasket Set 03-07 Dodge 5.9L Cummins | Power Stroke Products MLS Cylinder Head Gasket Set 03-07 Ford 6.0L Powerstroke
new no core injector set,\b(?:new\s+no\s+core\s+injector\s+set)\b,Fuel Related,Fuel Related,Injector Related,Motor Vehicle Fuel Systems,12,12,1.0,0.6988,1,1,Dynomite Diesel 10-20HP Economy Series New No Core Injector Set 01-04 6.6L GM Duramax LB7 | Dynomite Diesel 10-20HP Economy Series New No Core Injector Set 03-04 Dodge 5.9L Cummins | Dynomite Diesel 10-20HP Economy Series New No Core Injector Set 06-07 6.6L GM Duramax LLY / LBZ
ph powerhalt air shutoff valve,\b(?:ph\s+powerhalt\s+air\s+shutoff\s+valve)\b,Emergency Engine Shutdown,Emergency Engine Shutdown,,Motor Vehicle Engine Parts,12,12,1.0,0.6988,1,1,PacBrake PH+ PowerHalt Air Shut-Off Valve 07.5-09 Ram 2500/3500 | 07.5-10 Ram Cab & Chassis Cummins | PacBrake PH+ PowerHalt Air Shut-Off Valve 07.5-10 GM LMM | 11-12 GM Cab & Chassis | PacBrake PH+ PowerHalt Air Shut-Off Valve 08-10 Ford 6.4L Pickup And Cab & Chassis
plus fuel pump sump kit,\b(?:plus\s+fuel\s+pump\s+sump\s+kit)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,12,12,1.0,0.6988,1,1,FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 05-18 Dodge/Ram 5.9L/6.7L Cummins | FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 08-10 Ford 6.4L Powerstroke | FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 11-16 Ford 6.7L Powerstroke
seal drv or pass side,\b(?:seal\s+drv\s+or\s+pass\s+side)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,12,12,1.0,0.6988,1,1,Fairchild Front Door Weatherstrip Seal | Drv or Pass Side | 81-93 Dodge Ram 250/350 | Fairchild Front Door Weatherstrip Seal | Drv or Pass Side | Ext Cab | 07.5-13 GM 2500HD/3500 | Fairchild Front Door Weatherstrip Seal | Drv or Pass Side | Quad Cab | 98-99 Dodge Ram 2500/3500
series ifp rear gas shock,\b(?:series\s+ifp\s+rear\s+gas\s+shock)\b,Suspension & Steering,Suspension & Steering,Shocks / Coilovers,Motor Vehicle Suspension Parts,12,12,1.0,0.6988,1,1,"(BACKORDER TEST) FOX 2.0 Performance Series IFP Rear Gas Shock 2"" Lift 14-22 Dodge Ram 2500 | FOX 2.0 Adventure Series IFP Rear Gas Shock 0"" Lift 03-12 Ram 2500/3500 | 3-5"" Lift 13-24 3500 | 3-4"" Lift 01-25 GM 2500HD/3500 | FOX 2.0 Adventure Series IFP Rear Gas Shock 0"" Lift 94-02 Dodge Ram 2500/3500"
series plus fuel pump sump,\b(?:series\s+plus\s+fuel\s+pump\s+sump)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,12,12,1.0,0.6988,1,1,FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 05-18 Dodge/Ram 5.9L/6.7L Cummins | FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 08-10 Ford 6.4L Powerstroke | FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 11-16 Ford 6.7L Powerstroke
smooth body ifp hto front,\b(?:smooth\s+body\s+ifp\s+hto\s+front)\b,Suspension & Steering,Suspension & Steering,Shocks / Coilovers,Motor Vehicle Suspension Parts,12,12,1.0,0.6988,1,1,"FOX 2.5 Performance Smooth Body IFP HTO Front & Rear 2-4"" Lift Shock Package 20-23 Jeep Gladiator JT | FOX 2.5 Performance Smooth Body IFP HTO Front & Rear Shock Package 0-6"" Lift 20-24 GM 6.6L Duramax | FOX 2.5 Performance Smooth Body IFP HTO Front & Rear Shock Package 0-8"" Lift 17-24 Ford 6.7L Powerstroke"
stage 2 cold air intake,\b(?:stage\s+2\s+cold\s+air\s+intake)\b,Cold Air Intakes & Air Filters,Cold Air Intakes & Air Filters,Cold Air Intakes,Motor Vehicle Engine Parts,12,12,1.0,0.6988,2,1,AFE Magnum FORCE Stage 2 Cold Air Intake System 17-19 Ford 6.7L Powerstroke | AFE Magnum FORCE XP Stage 2 Cold Air Intake System 14-18 3.0L Ram 1500 EcoDiesel | AFE Magnum Force Stage 2 Cold Air Intake 07.5-10 GM 6.6L Duramax LMM
weatherstrip seal drv or pass,\b(?:weatherstrip\s+seal\s+drv\s+or\s+pass)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,12,12,1.0,0.6988,1,1,Fairchild Front Door Weatherstrip Seal | Drv or Pass Side | 81-93 Dodge Ram 250/350 | Fairchild Front Door Weatherstrip Seal | Drv or Pass Side | Ext Cab | 07.5-13 GM 2500HD/3500 | Fairchild Front Door Weatherstrip Seal | Drv or Pass Side | Quad Cab | 98-99 Dodge Ram 2500/3500
409 stainless steel dpfback,\b(?:409\s+stainless\s+steel\s+dpfback)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,12,12,1.0,0.6988,1,1,"AFE Large Bore-HD 4"" 409 Stainless Steel DPF-Back Dual Exhaust 2016 GM 6.6L Duramax LML | AFE Large Bore-HD 4"" 409 Stainless Steel DPF-Back Exhaust 07.5-12 Ram 6.7L Cummins | AFE Large Bore-HD 4"" 409 Stainless Steel DPF-Back Exhaust System 11-16 GM 6.6L Duramax LML"
brake rotor and pad,\b(?:brake\s+rotor\s+and\s+pad)\b,Brakes,Brakes,Rotor & Pad Packages,Motor Vehicle Braking,12,12,1.0,0.6988,1,1,EBC Stage 3 Dimpled and Slotted Front Brake Rotor and Pad Kit 03-08 Ram HD | EBC Stage 3 Dimpled and Slotted Rear Brake Rotor and Pad Kit 03-08 Ram HD | EBC Stage 8 Dimpled and Slotted Front Brake Rotor and Pad Kit 03-08 Ram HD
built apillar light mounts,\b(?:built\s+apillar\s+light\s+mounts)\b,Lighting,Lighting,Auxiliary Light Mounts,Motor Vehicle Lighting,12,12,1.0,0.6988,1,1,SDHQ Built A-Pillar Light Mounts 03-09 Ram 2500 / 3500 | SDHQ Built A-Pillar Light Mounts 07-18 Mercedes Sprinter Van | SDHQ Built A-Pillar Light Mounts 07.5-14 GM 2500HD / 3500
dual wall angle cut,\b(?:dual\s+wall\s+angle\s+cut)\b,Exhaust,Exhaust,Tips,Motor Vehicle Exhaust,12,12,1.0,0.6988,1,1,"MBRP 3"" Inlet | 4"" Outlet Dual Wall Angle Cut Black Exhaust Tip T5156BLK | MBRP 3"" Inlet | 4"" Outlet Dual Wall Angle Cut Exhaust Tip T5156 | MBRP 3"" Inlet | 4"" Outlet Dual Wall Angle Cut Rolled Edge Black Exhaust Tip T5155BLK"
horsepower injector nozzle set,\b(?:horsepower\s+injector\s+nozzle\s+set)\b,Fuel Related,Fuel Related,Injector Related,Motor Vehicle Fuel Systems,12,12,1.0,0.6988,1,1,Dynomite Diesel 15% Over 50 Horsepower Injector Nozzle Set 03-04 Dodge 5.9L Cummins | Dynomite Diesel 15% Over 50 Horsepower Injector Nozzle Set 04.5-07 Dodge 5.9L Cummins | Dynomite Diesel 15% Over 50 Horsepower Injector Nozzle Set 08-10 6.4L Ford Powerstroke
lift kit with falcon,\b(?:lift\s+kit\s+with\s+falcon)\b,Suspension & Steering,Suspension & Steering,Lift & Leveling Kits,Motor Vehicle Suspension Parts,12,12,1.0,0.6988,1,1,"ReadyLIFT 4"" Coil Spring Lift Kit With Falcon Shocks 17-22 Ford 6.7L Powerstroke | ReadyLIFT 4"" Coil Spring Lift Kit With Falcon Shocks 2023 Ford F-250/F-350 6.7L Powerstroke 4WD | ReadyLIFT 4"" Coil Spring Lift Kit with Falcon Shocks and Radius Arms | 17-22 Ford 6.7L Powerstroke"
magnum force stage 2,\b(?:magnum\s+force\s+stage\s+2)\b,Cold Air Intakes & Air Filters,Cold Air Intakes & Air Filters,Cold Air Intakes,Motor Vehicle Engine Parts,12,12,1.0,0.6988,1,1,AFE Magnum FORCE Stage 2 Cold Air Intake System 17-19 Ford 6.7L Powerstroke | AFE Magnum FORCE Stage 2 Intake System 14-18 Jeep Grand Cherokee 3.0L EcoDiesel | AFE Magnum FORCE Stage 2 Intake System Cover 13-18 Ram 6.7L Cummins
package with fox shocks,\b(?:package\s+with\s+fox\s+shocks)\b,Suspension & Steering,Suspension & Steering,Lift & Leveling Kits,Motor Vehicle Suspension Parts,12,12,1.0,0.6988,1,1,"Cognito 10"" Performance Lift Package with Fox Shocks 11-19 GM 6.6L Duramax | Cognito 12"" Performance Lift Package with Fox Shocks 11-19 GM 6.6L Duramax | Cognito 4"" Performance Lift Package with Fox Shocks 11-19 GM 6.6L Duramax"
slotted front brake rotors,\b(?:slotted\s+front\s+brake\s+rotors)\b,Brakes,Brakes,Brake Rotors,Motor Vehicle Braking,12,12,1.0,0.6988,1,1,Hawk Performance Talon Cross Drilled & Slotted Front Brake Rotors 03-08 Ram 2500/3500 4WD | Hawk Performance Talon Slotted Front Brake Rotors 00-02 Ram 2500/3500 | Hawk Performance Talon Slotted Front Brake Rotors 03-04 Ford F-250/350 SRW
slotted rear brake rotors,\b(?:slotted\s+rear\s+brake\s+rotors)\b,Brakes,Brakes,Brake Rotors,Motor Vehicle Braking,12,12,1.0,0.6988,1,1,Hawk Performance Talon Cross Drilled & Slotted Rear Brake Rotors 01-10 GM 2500HD/3500HD 2WD/4WD | Hawk Performance Talon Cross Drilled & Slotted Rear Brake Rotors 03-08 Ram 2500/3500 4WD | Hawk Performance Talon Slotted Rear Brake Rotors 01-02 Ram 2500/3500
top end gasket kit,\b(?:top\s+end\s+gasket\s+kit)\b,Engine Components,Engine Components,Gaskets,Motor Vehicle Engine Parts,12,12,1.0,0.6988,1,1,Cometic StreetPro Top End Gasket Kit 01-04 GM 6.6L Duramax LB7 | Cometic StreetPro Top End Gasket Kit 03-07 Dodge Ram 5.9L Cummins | Cometic StreetPro Top End Gasket Kit 03-07 Ford 6.0L Powerstroke
transmission rebuild kit with,\b(?:transmission\s+rebuild\s+kit\s+with)\b,Automatic Transmission,Automatic Transmission,Rebuild Kits,Motor Vehicle Transmission & Drivetrain Parts,12,12,1.0,0.6988,2,1,BD 1062227 Built-It Stage 4 Transmission Rebuild Kit with Pressure Controller 11-16 GM Duramax LML | SunCoast 4R100 Transmission Rebuild Kit With Converter 99-03 Ford 7.3L Powerstroke | SunCoast 5R110 Transmission Rebuild Kit With Converter 03-10 Ford 6.0L/6.4L Powerstroke
upper radiator coolant hose,\b(?:upper\s+radiator\s+coolant\s+hose)\b,Intercoolers / Radiators / Condensers,Intercoolers / Radiators / Condensers,Coolant Hoses,Motor Vehicle Engine Parts,12,12,1.0,0.6988,1,1,Fairchild Flexible Upper Radiator Coolant Hose Non-Intercooled 89-93 Dodge 5.9L Cummins | Fairchild Upper Radiator Coolant Hose 01-05 GM 6.6L Duramax LB7/LLY | Fairchild Upper Radiator Coolant Hose 03-07 Ford 6.0L Powerstroke
window channel weatherstrip seal,\b(?:window\s+channel\s+weatherstrip\s+seal)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,12,12,1.0,0.6988,1,1,"Fairchild Belt & Window Channel Weatherstrip Seal Kit | Drv & Pass Side | 88-00 GM 2500HD/3500 | Fairchild Belt, Door, & Window Channel Weatherstrip Seal Kit 88-00 GM 2500HD/3500 | Fairchild Belt, Vent Window, & Door Window Channel Weatherstrip Seal Kit 92-96 Ford F-250/F-350"
5 inlet x,\b(?:5\s+inlet\s+x)\b,Exhaust,Exhaust,Tips,Motor Vehicle Exhaust,12,12,1.0,0.6988,1,1,"MBRP T5075 5"" Inlet x 6"" Outlet x 12"" Length Rolled Angle Cut Polished Stainless Exhaust Tip | MBRP T5085 5"" Inlet x 5"" Outlet Turn Down Polished Exhaust Tip | MBRP T5112 3.5"" Inlet x 4"" Outlet x 10"" Length Rolled Angle Cut Polished Stainless Exhaust Tip"
b8barbarian direct fit,\b(?:b8barbarian\s+direct\s+fit)\b,Brakes,Brakes,Brake Rotors,Motor Vehicle Brake Service Kits,12,12,1.0,0.6988,1,1,SSBC-USA B8-Barbarian Direct Fit Front Caliper Disc Brake Upgrade Kit 05-12 Ford F-250/F-350 | SSBC-USA B8-Barbarian Direct Fit Front Caliper Disc Brake Upgrade Kit 09-20 Dodge Ram 2500/3500 | SSBC-USA B8-Barbarian Direct Fit Front Caliper Disc Brake Upgrade Kit 13-19 GM 2500HD/3500
back stainless exhaust,\b(?:back\s+stainless\s+exhaust)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,12,12,1.0,0.6988,1,1,"MBRP Armor Plus 4"" DPF Back Stainless Exhaust System without Muffler 07.5-10 GM 6.6L Duramax LMM | MBRP Armor Plus 4"" DPF Back Stainless Exhaust System without Muffler 08-10 Ford 6.4L Powerstroke | MBRP Armor Plus 4"" Turbo Back Stainless Exhaust Kit 00-03 Ford 7.3L Powerstroke Excursion"
cat back single,\b(?:cat\s+back\s+single)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,12,12,1.0,0.6988,2,1,"Diamond Eye 4"" Aluminized Cat Back Single 03-05 6.0L Ford Powerstroke Excursion K4354A | Diamond Eye 4"" Aluminized Cat Back Single 03-07 6.0L Ford Powerstroke K4338A | Diamond Eye 4"" Aluminized Cat Back Single 94-97 7.3L Ford Powerstroke K4310A"
dimpled and slotted,\b(?:dimpled\s+and\s+slotted)\b,Brakes,Brakes,Rotor & Pad Packages,Motor Vehicle Braking,12,12,1.0,0.6988,1,1,EBC Stage 3 Dimpled and Slotted Front Brake Rotor and Pad Kit 03-08 Ram HD | EBC Stage 3 Dimpled and Slotted Rear Brake Rotor and Pad Kit 03-08 Ram HD | EBC Stage 8 Dimpled and Slotted Front Brake Rotor and Pad Kit 03-08 Ram HD
dpf back single,\b(?:dpf\s+back\s+single)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,12,12,1.0,0.6988,3,1,"Diamond Eye 4"" Aluminized DPF Back Single Outlet Exhaust Kit 14-18 6.7L Cummins 2500 | Diamond Eye 4"" Stainless DPF Back Single Outlet Exhaust Kit 14-18 6.7L Cummins 2500 | Diamond Eye 5"" DPF Back Single Outlet Aluminized Exhaust System 13-18 Ram 3500 Cummins / 2013 Ram 25"
drive belt idler,\b(?:drive\s+belt\s+idler)\b,Engine Components,Engine Components,Belts / Pulleys / Fans,Motor Vehicle Engine Parts,12,12,1.0,0.6988,1,1,Dayco Drive Belt Idler Pulley 01-16 GM 2500HD/3500 6.6L Duramax | Dayco Drive Belt Idler Pulley 03-20 Ram 2500/3500 5.9L/6.7L Cummins | Dayco Drive Belt Idler Pulley 04-20 Ford SuperDuty Powerstroke
fuel transfer pump,\b(?:fuel\s+transfer\s+pump)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,12,12,1.0,0.6988,3,1,Alliant AP4089602 Fuel Transfer Pump Kit 03-04 Dodge 5.9L Cummins | Alliant AP4943048 Fuel Transfer Pump Kit 98.5-02 Dodge 5.9L Cummins | Alliant AP4988747 Fuel Transfer Pump Kit 94-98 5.9L 12 Valve Cummins
iron horn series,\b(?:iron\s+horn\s+series)\b,Turbos & Accessories,Turbos & Accessories,Complete Turbos,Motor Vehicle Engine Parts,12,12,1.0,0.6988,1,1,BD  Iron Horn Series S361SXE/76 .91AR Turbo Kit 03-07 Ram 5.9L Cummins | BD 1045171 Iron Horn Series S364SXE/76 .91AR Turbo Kit 03-07 Ram 5.9L Cummins | BD Iron Horn Series S363SXE/76 .91AR Turbo Kit 03-07 Ram 5.9L Cummins
mp8 pro module,\b(?:mp8\s+pro\s+module)\b,Programmers / Chips / Tuners,Programmers / Chips / Tuners,,Motor Vehicle Power & Electrical Systems,12,12,1.0,0.6988,1,1,TS Performance 1110201P MP-8 Pro Module 01-04 6.6L GM Duramax LB7 | TS Performance 1110202P MP-8 Pro Module 04.5-07 6.6L GM Duramax LLY / LBZ | TS Performance 1110204P MP-8 Pro Module 07.5-10 6.6L GM Duramax LMM
outer belt weatherstrip,\b(?:outer\s+belt\s+weatherstrip)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,12,12,1.0,0.6988,1,1,Fairchild Front Outer Belt Weatherstrip Kit | Drv & Pass Side | Crew Cab | 99-16 Ford F-250/F-350 | Fairchild Front Outer Belt Weatherstrip Seal Kit | Drv & Pass Side | 87-97 Ford F-250/F-350 | Fairchild Front Outer Belt Weatherstrip Seal Kit | Drv & Pass Side | 88-00 GM 2500HD/3500
