alias_phrase,pattern,type,category,subtype,google_leaf,support_products,dominant_count,precision,confidence,vendor_count,mapping_variants,example_titles
hitch designed for use with,\b(?:hitch\s+designed\s+for\s+use\s+with)\b,Hitches,Hitches,,Motor Vehicle Towing,15,15,1.0,0.7769,1,1,"Weigh Safe 180 Drop Hitch | Designed for use with 2"" Receiver Hitch | Weigh Safe 180 Drop Hitch | Designed for use with 2.5"" Receiver Hitch | Weigh Safe 180 Drop Hitch | Designed for use with 3"" Receiver Hitch"
ses front suspension bump stops,\b(?:ses\s+front\s+suspension\s+bump\s+stops)\b,Suspension & Steering,Suspension & Steering,Bumpstops,Motor Vehicle Suspension Parts,15,15,1.0,0.7769,1,1,Timbren DDF974A SES Front Suspension Bump Stops 94-23 Dodge Ram 2500/3500 2WD | Timbren DF25004B SES Front Suspension Bump Stops 94-22 Ram 2500 / 3500 4WD | Timbren DF25004E SES Front Suspension Bump Stops 14-23 Ram 2500/3500 2WD/4WD
4 aluminized turbo back,\b(?:4\s+aluminized\s+turbo\s+back)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,15,15,1.0,0.7769,1,1,"Diamond Eye 4"" Aluminized Turbo Back Duals 00-03 7.3L Ford Powerstroke | Diamond Eye 4"" Aluminized Turbo Back Duals 98.5-02 Dodge 5.9L Cummins K4214A | Diamond Eye 4"" Aluminized Turbo Back Duals with Stock Cat 94-97 7.3L Ford Powerstroke K4308A"
stage 1 transmission package,\b(?:stage\s+1\s+transmission\s+package)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,15,15,1.0,0.7769,1,1,ATS  Stage 1 Transmission Package 11-19 6.7L Ford Powerstroke 6R140 | ATS Stage 1 Transmission Package 01-04 6.6L GM Duramax LB7 | ATS Stage 1 Transmission Package 03-04 Dodge 5.9L Cummins
stainless steel dpfback exhaust,\b(?:stainless\s+steel\s+dpfback\s+exhaust)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,15,15,1.0,0.7769,1,1,"AFE Large Bore-HD 3"" Stainless Steel DPF-Back Exhaust 20-23 Jeep Wrangler JL 3.0L EcoDiesel | AFE Large Bore-HD 4"" 409 Stainless Steel DPF-Back Exhaust 07.5-12 Ram 6.7L Cummins | AFE Large Bore-HD 4"" 409 Stainless Steel DPF-Back Exhaust System 11-16 GM 6.6L Duramax LML"
window channel weatherstrip,\b(?:window\s+channel\s+weatherstrip)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,15,15,1.0,0.7769,1,1,"Fairchild Belt & Window Channel Weatherstrip Seal Kit | Drv & Pass Side | 88-00 GM 2500HD/3500 | Fairchild Belt, Door, & Window Channel Weatherstrip Seal Kit 88-00 GM 2500HD/3500 | Fairchild Belt, Door, and Window Channel Weatherstrip Kit | Drv & Pass Side | 87-97 Ford F-250/F-350"
4link lift,\b(?:4link\s+lift)\b,Suspension & Steering,Suspension & Steering,Lift & Leveling Kits,Motor Vehicle Suspension Parts,15,15,1.0,0.7769,1,1,"BDS Suspension 4"" 4-Link Lift Kit 13-18 Ram 3500 w/Factory Air | BDS Suspension 4"" 4-Link Lift Kit 13-18 Ram 6.7L Cummins 3500 w/o Rear Air | BDS Suspension 4"" 4-Link Lift Kit 19-24 Ram 6.7L Cummins 2500 w/ Factory Air"
display mount,\b(?:display\s+mount)\b,Programmers / Chips / Tuners,Programmers / Chips / Tuners,Gauge Mounts,Motor Vehicle Power & Electrical Systems,15,15,1.0,0.7769,1,1,Edge A-Pillar Display Mount 07.5-14 GM 2500/3500 | Edge A-Pillar Display Mount 24-26 GM 2500/3500 | 23-26 GM 1500 | Edge CTS3 Display Mount 06-09 Dodge 5.9L / 6.7L Cummins
on body,\b(?:on\s+body)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,15,15,1.0,0.7769,1,1,Fairchild Door Weatherstrip Seal Kit | On Body | Drv & Pass Side | 80-97 Ford F-250/F-350 | Fairchild Door Weatherstrip Seal | Front or Rear | On Body | Drv or Pass Side | 88-00 GM 2500HD/3500 | Fairchild Door Weatherstrip | Front or Rear | Drv or Pass | On Body | 80-97 Ford F-250/F-350
quietcast semimetallic,\b(?:quietcast\s+semimetallic)\b,Brakes,Brakes,Brake Pads,Motor Vehicle Braking,15,15,1.0,0.7769,1,1,Bosch QuietCast Semi-Metallic Front Brake Pads 01-04 Ford F250/F350 | Bosch QuietCast Semi-Metallic Front Brake Pads 02 Dodge 2500 With Wear Sensor | Bosch QuietCast Semi-Metallic Front Brake Pads 03-08 Dodge 2500/3500
drop hitch designed for use,\b(?:drop\s+hitch\s+designed\s+for\s+use)\b,Hitches,Hitches,,Motor Vehicle Towing,14,14,1.0,0.7534,1,1,"Weigh Safe 180 Drop Hitch | Designed for use with 2"" Receiver Hitch | Weigh Safe 180 Drop Hitch | Designed for use with 2.5"" Receiver Hitch | Weigh Safe 180 Drop Hitch | Designed for use with 3"" Receiver Hitch"
fuel pump and sump kit,\b(?:fuel\s+pump\s+and\s+sump\s+kit)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,14,14,1.0,0.7534,1,1,FASS No Drop Titanium Series Fuel Pump and Sump Kit 01-16 GM 6.6L Duramax LB7/LLY/LBZ/LMM | FASS No Drop Titanium Series Fuel Pump and Sump Kit 05-18 and 21-24 Ram 5.9L/6.7L Cummins | FASS No Drop Titanium Series Fuel Pump and Sump Kit 08-10 Ford 6.4L Powerstroke
wrinkle black hd high output,\b(?:wrinkle\s+black\s+hd\s+high\s+output)\b,Electrical Components,Electrical Components,Alternators,Motor Vehicle Power & Electrical Systems,14,14,1.0,0.7534,1,1,XDP XD348 Wrinkle Black HD High Output Alternator 03-05 Ford 6.0L Powerstroke | XDP XD349 Wrinkle Black HD High Output Alternator 06-07 Ford 6.0L Powerstroke | XDP XD350 Wrinkle Black HD High Output Alternator 11-19 GM 6.6L Duramax
3 8 diameter series,\b(?:3\s+8\s+diameter\s+series)\b,Engine Components,Engine Components,Tappets / Push Rods,Motor Vehicle Engine Parts,14,14,1.0,0.7534,1,1,"Manton 3/8"" Diameter Series 3 Pushrods (Set of 12) 89-98 Dodge 5.9L Cummins 12 Valve | Manton 3/8"" Diameter Series 3 Pushrods (Set of 12) 98.5-18 Dodge 5.9L / 6.7L Cummins | Manton 3/8"" Diameter Series 3 Pushrods (Set of 16) 01-16 6.6L GM Duramax"
door weatherstrip seal kit,\b(?:door\s+weatherstrip\s+seal\s+kit)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,14,14,1.0,0.7534,1,1,Fairchild Door Weatherstrip Seal Kit | Front or Rear | Drv or Pass Side | 88-00 GM 2500HD/3500 | Fairchild Door Weatherstrip Seal Kit | On Body | Drv & Pass Side | 80-97 Ford F-250/F-350 | Fairchild Front Door Weatherstrip Seal Kit | Drv & Pass Side | 81-93 Dodge Ram 250/350
xtra cool directfit replacement,\b(?:xtra\s+cool\s+directfit\s+replacement)\b,Intercoolers / Radiators / Condensers,Intercoolers / Radiators / Condensers,Radiators,Motor Vehicle Engine Parts,14,14,1.0,0.7534,1,1,XDP X-Tra Cool Direct-Fit Replacement Main Radiator 17-22 6.7L Ford Powerstroke | XDP X-Tra Cool Direct-Fit Replacement Radiator 01-05 6.6L GM Duramax | XDP X-Tra Cool Direct-Fit Replacement Radiator 03-07 6.0L Ford Powerstroke
0 shank heavy,\b(?:0\s+shank\s+heavy)\b,Hitches,Hitches,,Motor Vehicle Engine Parts,14,14,1.0,0.7534,1,1,"Bulletproof Hitch 2.0"" Shank Heavy Duty 10"" Drop/Rise Hitch | Bulletproof Hitch 2.0"" Shank Heavy Duty 12"" Drop/Rise Hitch | Bulletproof Hitch 2.0"" Shank Heavy Duty 14"" Drop/Rise Hitch"
4link lift kit,\b(?:4link\s+lift\s+kit)\b,Suspension & Steering,Suspension & Steering,Lift & Leveling Kits,Motor Vehicle Suspension Parts,14,14,1.0,0.7534,1,1,"BDS Suspension 4"" 4-Link Lift Kit 13-18 Ram 3500 w/Factory Air | BDS Suspension 4"" 4-Link Lift Kit 13-18 Ram 6.7L Cummins 3500 w/o Rear Air | BDS Suspension 4"" 4-Link Lift Kit 19-24 Ram 6.7L Cummins 2500 w/ Factory Air"
dpfback exhaust system,\b(?:dpfback\s+exhaust\s+system)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,14,14,1.0,0.7534,1,1,"AFE 5"" DPF-Back Exhaust System 19-25 Ram 2500/3500 6.7L Cummins | AFE ATLAS 3.5"" Aluminized DPF-Back Exhaust System 16-22 Colorado 2.8L Duramax | AFE ATLAS 4"" Aluminized DPF-Back Exhaust System 11-16 GM 6.6L Duramax LML"
dragon fly stock,\b(?:dragon\s+fly\s+stock)\b,Fuel Related,Fuel Related,Injector Related,Motor Vehicle Fuel Systems,14,14,1.0,0.7534,1,1,Industrial Injection Dragon Fly / Stock Fuel Injectors 04.5-05 GM 6.6L Duramax LLY | Industrial Injection Dragon Fly / Stock Fuel Injectors 07.5-10 Dodge 6.7L Cummins Cab & Chassis | Industrial Injection Dragon Fly / Stock Fuel Injectors 07.5-12 Dodge/Ram 6.7L Cummins
weatherstrip seal drv,\b(?:weatherstrip\s+seal\s+drv)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,14,14,1.0,0.7534,1,1,Fairchild Front Door Weatherstrip Seal | Drv or Pass Side | 81-93 Dodge Ram 250/350 | Fairchild Front Door Weatherstrip Seal | Drv or Pass Side | Ext Cab | 07.5-13 GM 2500HD/3500 | Fairchild Front Door Weatherstrip Seal | Drv or Pass Side | Quad Cab | 98-99 Dodge Ram 2500/3500
bd torquemaster,\b(?:bd\s+torquemaster)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,14,14,1.0,0.7534,1,1,BD TorqueMaster 48RE Transmission & Torque Converter & Tapshifter 05-07 Dodge 5.9L Cummins | BD TorqueMaster 68RFE Transmission & Torque Converter w/ Billet Shaft 07.5-18 Dodge 6.7L Cummins | BD TorqueMaster 6R140 Transmission & Converter Package 11-16 Ford 6.7L Powerstroke 2WD/4WD
economy series,\b(?:economy\s+series)\b,Fuel Related,Fuel Related,Injector Related,Motor Vehicle Fuel Systems,14,14,1.0,0.7534,1,1,Dynomite Diesel 10-20 HP Economy Series Brand New Injector Set 04.5-05 6.6L GM Duramax LLY | Dynomite Diesel 10-20HP Economy Series New No Core Injector Set 01-04 6.6L GM Duramax LB7 | Dynomite Diesel 10-20HP Economy Series New No Core Injector Set 03-04 Dodge 5.9L Cummins
forged the,\b(?:forged\s+the)\b,Wheel & Tire,Wheel & Tire,Wheels,Automotive Rims & Wheels,14,14,1.0,0.7534,1,1,"DDC Forged The Mesh Black 20""x 8.25"" Wheels 05-10 F-450/550 | 15-23 F-450 | 08-24 Ram 4500/5500 | DDC Forged The Mesh Black/Milled 22""x8.25"" Wheels 05-23 F-350 | 11-14 F-450 | 19-24 Ram 3500 Dually | DDC Forged The Mesh Polished 20""x 8.25"" Wheels 05-10 F-450/550 | 15-23 F-450 | 08-24 Ram 4500/5500"
recoil traction,\b(?:recoil\s+traction)\b,Suspension & Steering,Suspension & Steering,Traction Bars,Motor Vehicle Suspension Parts,14,14,1.0,0.7534,1,1,BDS Suspension Recoil Traction Bar Kit 17-26 Ford F-250/F-350/F-450 SuperDuty | BDS Suspension Recoil Traction Bar Kit 19-24 Ram 3500 | BDS Suspension Recoil Traction Bar Kit 20-26 GM 2500HD/3500
replacement progressive,\b(?:replacement\s+progressive)\b,Suspension & Steering,Suspension & Steering,Leaf Springs,Motor Vehicle Suspension Parts,14,14,1.0,0.7534,1,1,"Carli 2"" Rear Lift Full Replacement Progressive Leaf Spring Pack 19-25 Ram 3500 Cummins | Carli 3"" Replacement Progressive Rear Leaf Spring Pack 00-05 Ford Excursion SuperDuty 4x4 | Carli 4"" Rear Lift Full Replacement Progressive Leaf Spring Pack 03-09 Dodge Ram 5.9L / 6.7L Cummins"
sumospring rebel,\b(?:sumospring\s+rebel)\b,Suspension & Steering,Suspension & Steering,Bumpstops,Motor Vehicle Suspension Parts,14,14,1.0,0.7534,1,1,SuperSprings SumoSpring Rebel HD Rear Overload Bumpstop 01-10 GM 2500HD/3500 2WD/4WD | SuperSprings SumoSpring Rebel HD Rear Overload Bumpstop 03-13 Ram 2500 | 03-23 Ram 3500 | SuperSprings SumoSpring Rebel HD Rear Overload Bumpstop 11-16 Ford F250/350 SuperDuty 2WD/4WD
aluminized exhaust system without muffler,\b(?:aluminized\s+exhaust\s+system\s+without\s+muffler)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,13,13,1.0,0.7275,1,1,"MBRP Armor Lite 4"" DPF Back Aluminized Exhaust System without Muffler 07.5-10 GM 6.6L Duramax LMM | MBRP Armor Lite 4"" DPF Back Aluminized Exhaust System without Muffler 08-10 Ford 6.4L Powerstroke | MBRP Armor Lite 4"" Turbo Back Aluminized Exhaust System without Muffler 03-07 Ford 6.0L Powerstroke"
back aluminized exhaust system without,\b(?:back\s+aluminized\s+exhaust\s+system\s+without)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,13,13,1.0,0.7275,1,1,"MBRP Armor Lite 4"" DPF Back Aluminized Exhaust System without Muffler 07.5-10 GM 6.6L Duramax LMM | MBRP Armor Lite 4"" DPF Back Aluminized Exhaust System without Muffler 08-10 Ford 6.4L Powerstroke | MBRP Armor Lite 4"" Turbo Back Aluminized Exhaust System without Muffler 03-07 Ford 6.0L Powerstroke"
brand new no core fuel,\b(?:brand\s+new\s+no\s+core\s+fuel)\b,Fuel Related,Fuel Related,Injector Related,Motor Vehicle Fuel Systems,13,13,1.0,0.7275,1,1,Bosch 0445110522 Brand New No Core Fuel Injector 14-18 Ram / Jeep 3.0L EcoDiesel | Bosch 0445117010 Brand New No Core Fuel Injector 11-16 GM 6.6L Duramax LML | Bosch 0445117043 Brand New No Core Fuel Injector 15-19 Ford 6.7L Powerstroke
drop titanium series fuel pump,\b(?:drop\s+titanium\s+series\s+fuel\s+pump)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,13,13,1.0,0.7275,1,1,FASS No Drop Titanium Series Fuel Pump and Sump Kit 01-16 GM 6.6L Duramax LB7/LLY/LBZ/LMM | FASS No Drop Titanium Series Fuel Pump and Sump Kit 05-18 and 21-24 Ram 5.9L/6.7L Cummins | FASS No Drop Titanium Series Fuel Pump and Sump Kit 08-10 Ford 6.4L Powerstroke
drop titanium series plus fuel,\b(?:drop\s+titanium\s+series\s+plus\s+fuel)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,13,13,1.0,0.7275,1,1,FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 05-18 Dodge/Ram 5.9L/6.7L Cummins | FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 08-10 Ford 6.4L Powerstroke | FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 11-16 Ford 6.7L Powerstroke
ev2 build your own gauge,\b(?:ev2\s+build\s+your\s+own\s+gauge)\b,Gauges,Gauges,Gauge Packages,Motor Vehicle Sensors & Gauges,13,13,1.0,0.7275,1,1,ISSPRO EV2 Build Your Own Gauge Kit 01-07 6.6L GM Duramax | ISSPRO EV2 Build Your Own Gauge Kit 03-07 6.0L Ford Powerstroke | ISSPRO EV2 Build Your Own Gauge Kit 03-09 5.9L/Dodge 6.7L Cummins
new no core fuel injector,\b(?:new\s+no\s+core\s+fuel\s+injector)\b,Fuel Related,Fuel Related,Injector Related,Motor Vehicle Fuel Systems,13,13,1.0,0.7275,1,1,Bosch 0445110522 Brand New No Core Fuel Injector 14-18 Ram / Jeep 3.0L EcoDiesel | Bosch 0445117010 Brand New No Core Fuel Injector 11-16 GM 6.6L Duramax LML | Bosch 0445117043 Brand New No Core Fuel Injector 15-19 Ford 6.7L Powerstroke
no drop titanium series fuel,\b(?:no\s+drop\s+titanium\s+series\s+fuel)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,13,13,1.0,0.7275,1,1,FASS No Drop Titanium Series Fuel Pump and Sump Kit 01-16 GM 6.6L Duramax LB7/LLY/LBZ/LMM | FASS No Drop Titanium Series Fuel Pump and Sump Kit 05-18 and 21-24 Ram 5.9L/6.7L Cummins | FASS No Drop Titanium Series Fuel Pump and Sump Kit 08-10 Ford 6.4L Powerstroke
no drop titanium series plus,\b(?:no\s+drop\s+titanium\s+series\s+plus)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,13,13,1.0,0.7275,1,1,FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 05-18 Dodge/Ram 5.9L/6.7L Cummins | FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 08-10 Ford 6.4L Powerstroke | FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 11-16 Ford 6.7L Powerstroke
series fuel pump and sump,\b(?:series\s+fuel\s+pump\s+and\s+sump)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,13,13,1.0,0.7275,1,1,FASS No Drop Titanium Series Fuel Pump and Sump Kit 01-16 GM 6.6L Duramax LB7/LLY/LBZ/LMM | FASS No Drop Titanium Series Fuel Pump and Sump Kit 05-18 and 21-24 Ram 5.9L/6.7L Cummins | FASS No Drop Titanium Series Fuel Pump and Sump Kit 08-10 Ford 6.4L Powerstroke
stock replacement common rail injector,\b(?:stock\s+replacement\s+common\s+rail\s+injector)\b,Fuel Related,Fuel Related,Injector Related,Motor Vehicle Fuel Systems,13,13,1.0,0.7275,1,1,BD 1715502 Stock Replacement Common Rail Injector 01-04 GM Duramax LB7 | BD 1715504 Stock Replacement Common Rail Injector 04.5-05 GM Duramax LLY | BD 1715520 Stock Replacement Common Rail Injector 07.5-10 GM Duramax LMM
titanium series fuel pump and,\b(?:titanium\s+series\s+fuel\s+pump\s+and)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,13,13,1.0,0.7275,1,1,FASS No Drop Titanium Series Fuel Pump and Sump Kit 01-16 GM 6.6L Duramax LB7/LLY/LBZ/LMM | FASS No Drop Titanium Series Fuel Pump and Sump Kit 05-18 and 21-24 Ram 5.9L/6.7L Cummins | FASS No Drop Titanium Series Fuel Pump and Sump Kit 08-10 Ford 6.4L Powerstroke
titanium series plus fuel pump,\b(?:titanium\s+series\s+plus\s+fuel\s+pump)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,13,13,1.0,0.7275,1,1,FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 05-18 Dodge/Ram 5.9L/6.7L Cummins | FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 08-10 Ford 6.4L Powerstroke | FASS No Drop Titanium Series Plus Fuel Pump & Sump Kit 11-16 Ford 6.7L Powerstroke
turbo back aluminized exhaust system,\b(?:turbo\s+back\s+aluminized\s+exhaust\s+system)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,13,13,1.0,0.7275,1,1,"MBRP Armor Lite 4"" Turbo Back Aluminized Exhaust System with Muffler 03-04 Dodge 5.9L Cummins | MBRP Armor Lite 4"" Turbo Back Aluminized Exhaust System with Muffler 98.5-02 Dodge 5.9L Cummins | MBRP Armor Lite 4"" Turbo Back Aluminized Exhaust System with Muffler 99-03 Ford 7.3L Powerstroke"
5 sst lift kit,\b(?:5\s+sst\s+lift\s+kit)\b,Suspension & Steering,Suspension & Steering,Lift & Leveling Kits,Motor Vehicle Suspension Parts,13,13,1.0,0.7275,1,1,"ReadyLIFT 2.5"" SST Lift Kit 11-16 Ford SuperDuty | ReadyLIFT 2.5"" SST Lift Kit 17-23 Ford SuperDuty | ReadyLIFT 2.5"" SST Lift Kit 23-24 Ford SuperDuty Tremor F-250 / F-350 4WD"
aluminized turbo back single,\b(?:aluminized\s+turbo\s+back\s+single)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,13,13,1.0,0.7275,1,1,"Diamond Eye 4"" Aluminized Turbo Back Single 00-03 7.3L Ford Powerstoke E Series Van | Diamond Eye 4"" Aluminized Turbo Back Single 01-03 Ford 7.3L Powerstroke | Excursion | Diamond Eye 4"" Aluminized Turbo Back Single Exhaust 00-03 7.3L Ford F-550 Rollover Powerstroke"
evolution air intake system,\b(?:evolution\s+air\s+intake\s+system)\b,Cold Air Intakes & Air Filters,Cold Air Intakes & Air Filters,Cold Air Intakes,Motor Vehicle Engine Parts,13,13,1.0,0.7275,1,1,Injen Evolution Air Intake System 01-04 6.6L GM Duramax LB7 | Injen Evolution Air Intake System 03-07 Dodge 5.9L Cummins | Injen Evolution Air Intake System 04.5-05 6.6L GM Duramax LLY
exhaust system with muffler,\b(?:exhaust\s+system\s+with\s+muffler)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,13,13,1.0,0.7275,1,1,"MBRP 4"" Armor Lite Turbo-Back Aluminized Exhaust System With Muffler 94-97 Ford 7.3L Powerstroke | MBRP 4"" Armor Pro Turbo Back T304 Stainless Exhaust System with Muffler 03-07 Ford 6.0L Powerstroke | MBRP Armor Lite 4"" Cat Back Aluminized Exhaust System with Muffler 01-05 GM 6.6L Duramax"
front rear shock package,\b(?:front\s+rear\s+shock\s+package)\b,Suspension & Steering,Suspension & Steering,Shocks / Coilovers,Motor Vehicle Suspension Parts,13,13,1.0,0.7275,1,1,"FOX 2.0 IFP Front & Rear Shock Package 0-10"" Lift 01-10 GM 2500HD/3500 2WD/4WD | FOX 2.0 IFP Front & Rear Shock Package 0-10"" Lift 11-19 GM 2500HD/3500 2WD/4WD | FOX 2.0 IFP Front & Rear Shock Package 0-3"" Lift 20-24 GM 2500HD/3500 2WD/4WD"
hd rear overload bumpstop,\b(?:hd\s+rear\s+overload\s+bumpstop)\b,Suspension & Steering,Suspension & Steering,Bumpstops,Motor Vehicle Suspension Parts,13,13,1.0,0.7275,1,1,SuperSprings SumoSpring Rebel HD Rear Overload Bumpstop 01-10 GM 2500HD/3500 2WD/4WD | SuperSprings SumoSpring Rebel HD Rear Overload Bumpstop 03-13 Ram 2500 | 03-23 Ram 3500 | SuperSprings SumoSpring Rebel HD Rear Overload Bumpstop 11-16 Ford F250/350 SuperDuty 2WD/4WD
hitch 3 0 shank,\b(?:hitch\s+3\s+0\s+shank)\b,Hitches,Hitches,,Motor Vehicle Engine Parts,13,13,1.0,0.7275,1,1,"Bulletproof Hitch 3.0"" Shank Extreme Duty 10"" Drop/Rise Hitch | Bulletproof Hitch 3.0"" Shank Extreme Duty 12"" Drop/Rise Hitch | Bulletproof Hitch 3.0"" Shank Extreme Duty 4"" & 6"" Offset Hitch"
raptor 4g 150 gph,\b(?:raptor\s+4g\s+150\s+gph)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,13,13,1.0,0.7275,1,1,PureFlow R4SBC136 Raptor 4G 150 GPH Fuel Pump 01-10 GM Duramax | PureFlow R4SBC137 Raptor 4G 150 GPH Fuel Pump 11-14 6.6L GM Duramax LML | PureFlow R4SBC139 Raptor 4G 150 GPH Fuel Pump 15-16 6.6L GM Duramax LML
silicone coolant hose kit,\b(?:silicone\s+coolant\s+hose\s+kit)\b,Intercoolers / Radiators / Condensers,Intercoolers / Radiators / Condensers,Coolant Hoses,Motor Vehicle Engine Parts,13,13,1.0,0.7275,1,1,Mishimoto Silicone Coolant Hose Kit 01-05 GM 6.6L Duramax | Mishimoto Silicone Coolant Hose Kit 06-10 GM 6.6L Duramax | Mishimoto Silicone Coolant Hose Kit 08-10 Ford 6.4L Powerstroke
stage 2 transmission package,\b(?:stage\s+2\s+transmission\s+package)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,13,13,1.0,0.7275,1,1,ATS Stage 2 Transmission Package 01-04 6.6L GM Duramax LB7 | ATS Stage 2 Transmission Package 03-04 Dodge 5.9L Cummins | ATS Stage 2 Transmission Package 03-07 6.0L Ford Powerstroke 5R110
stage 3 transmission package,\b(?:stage\s+3\s+transmission\s+package)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,13,13,1.0,0.7275,1,1,ATS Stage 3 Transmission Package 01-04 6.6L GM Duramax LB7 | ATS Stage 3 Transmission Package 03-04 Dodge 5.9L Cummins | ATS Stage 3 Transmission Package 03-07 6.0L Ford Powerstroke 5R110
xtra cool water pump,\b(?:xtra\s+cool\s+water\s+pump)\b,Engine Components,Engine Components,Water Pumps,Motor Vehicle Engine Parts,13,13,1.0,0.7275,1,1,XDP XD416 X-TRA Cool Water Pump 04.5-07 Ford 6.0L Powerstroke | XDP XTRA Cool Water Pump (Pump Only) 01-05 GM 6.6L Duramax | XDP XTRA Cool Water Pump 03-04 Ford 6.0L Powerstroke
4 inlet x,\b(?:4\s+inlet\s+x)\b,Exhaust,Exhaust,Tips,Motor Vehicle Exhaust,13,13,1.0,0.7275,1,1,"MBRP T5051 4"" Inlet x 5"" Outlet x 12"" Length Rolled Angle Cut Polished Stainless Exhaust Tip | MBRP T5052 4"" Inlet x 5"" Outlet x 12"" Length Single Wall Angle Cut Polished Stainless Exhaust Tip | MBRP T5072BLK 4"" Inlet x 6"" Outlet x 12"" Length Rolled Angle Cut Black Exhaust Tip"
channel weatherstrip seal,\b(?:channel\s+weatherstrip\s+seal)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,13,13,1.0,0.7275,1,1,"Fairchild Belt & Window Channel Weatherstrip Seal Kit | Drv & Pass Side | 88-00 GM 2500HD/3500 | Fairchild Belt, Door, & Window Channel Weatherstrip Seal Kit 88-00 GM 2500HD/3500 | Fairchild Belt, Vent Window, & Door Window Channel Weatherstrip Seal Kit 92-96 Ford F-250/F-350"
magnum force stage,\b(?:magnum\s+force\s+stage)\b,Cold Air Intakes & Air Filters,Cold Air Intakes & Air Filters,Cold Air Intakes,Motor Vehicle Engine Parts,13,13,1.0,0.7275,1,1,AFE Magnum FORCE Stage 2 Cold Air Intake System 17-19 Ford 6.7L Powerstroke | AFE Magnum FORCE Stage 2 Intake System 14-18 Jeep Grand Cherokee 3.0L EcoDiesel | AFE Magnum FORCE Stage 2 Intake System Cover 13-18 Ram 6.7L Cummins
mls cylinder head,\b(?:mls\s+cylinder\s+head)\b,Engine Components,Engine Components,Gaskets,Motor Vehicle Engine Parts,13,13,1.0,0.7275,1,1,Power Stroke Products MLS Cylinder Head Gasket Set 01-04 GM 6.6L Duramax LB7 | Power Stroke Products MLS Cylinder Head Gasket Set 03-07 Dodge 5.9L Cummins | Power Stroke Products MLS Cylinder Head Gasket Set 03-07 Ford 6.0L Powerstroke
shank with dualball,\b(?:shank\s+with\s+dualball)\b,Hitches,Hitches,,Motor Vehicle Towing,13,13,1.0,0.7275,1,1,"Gen-Y Hitch Mega-Duty 32K Drop Hitch 2.5"" Shank With Dual-Ball - 6"" / 9"" / 12"" Drop | Gen-Y Hitch Mega-Duty 32K Drop Hitch 2.5"" Shank With Dual-Ball - 6"" / 9"" / 12"" Offset Drop | Gen-Y Hitch Mega-Duty 32K Drop Hitch 3"" Shank With Dual-Ball - 6"" / 9"" / 12"" Drop"
